"tag","class","text_preview","is_valid","type"
"ul","cbp-links cbp-valinks","Consola
                                    
                                                       ",0,
"a","","Consola",0,
"a","","Joystick",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-3 ","Xbox 
                                    
                
                                        ",0,
"div","cbp-menu-column-inner","Xbox 
                                    
                
                                        ",0,
"ul","cbp-links cbp-valinks","Consola
                                    
                                                       ",0,
"a","","Consola",0,
"a","","Joystick",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-4 ","Sillas Gamer 
                                    
                
                                ",0,
"div","cbp-menu-column-inner","Sillas Gamer 
                                    
                
                                ",0,
"ul","cbp-links cbp-valinks","Silla Gamer",0,
"a","","Silla Gamer",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-5 ","Streaming 
                                    
                
                                   ",0,
"div","cbp-menu-column-inner","Streaming 
                                    
                
                                   ",0,
"ul","cbp-links cbp-valinks","Micrófono
                                    
                                                     ",0,
"a","","Micrófono",0,
"a","","Pantalla",0,
"a","","Stream Deck",0,
"div","cbp-menu-column-inner","Escritorios",0,
"div","tab-pane cbp-tab-pane  innertabcontent-12","Monitores 
                                    
                
                                   ",0,
"div","clearfix","Monitores 
                                    
                
                                   ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Monitores 
                                    
                
                                   ",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2 ","Monitores 
                                    
                
                                   ",0,
"div","cbp-menu-column-inner","Monitores 
                                    
                
                                   ",0,
"ul","cbp-links cbp-valinks","Monitores Oficina
                                    
                                             ",0,
"a","","Monitores Oficina",0,
"a","","Monitores Gamer",0,
"a","","Tvs",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","tab-pane cbp-tab-pane  innertabcontent-13","Impresoras 
                                    
                
                                  ",0,
"div","clearfix","Impresoras 
                                    
                
                                  ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Impresoras 
                                    
                
                                  ",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2 ","Impresoras 
                                    
                
                                  ",0,
"div","cbp-menu-column-inner","Impresoras 
                                    
                
                                  ",0,
"ul","cbp-links cbp-valinks","Impresoras Laser
                                    
                                              ",0,
"a","","Impresoras Laser",0,
"a","","Impresoras Inkjet",0,
"a","","Impresoras Multifunción",0,
"a","","Toners",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","tab-pane cbp-tab-pane  innertabcontent-14","Conectividad 
                                    
                
                                ",0,
"div","clearfix","Conectividad 
                                    
                
                                ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Conectividad 
                                    
                
                                ",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2 ","Conectividad 
                                    
                
                                ",0,
"div","cbp-menu-column-inner","Conectividad 
                                    
                
                                ",0,
"ul","cbp-links cbp-valinks","Placas De Red
                                    
                                                 ",0,
"a","","Placas De Red",0,
"a","","Placas Wifi",0,
"a","","Cables Av",0,
"a","","Router Wifi",0,
"a","","Switch",0,
"a","","Access Point",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","tab-pane cbp-tab-pane  innertabcontent-15","Energía 
                                    
                
                                     ",0,
"div","clearfix","Energía 
                                    
                
                                     ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Energía 
                                    
                
                                     ",0,
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2 ","Energía 
                                    
                
                                     ",0,
"div","cbp-menu-column-inner","Energía 
                                    
                
                                     ",0,
"ul","cbp-links cbp-valinks","Estabilizadores
                                    
                                               ",0,
"a","","Estabilizadores",0,
"a","","Ups",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","cbp-menu-column-inner","",0,
"div","tab-pane cbp-tab-pane  innertabcontent-19","Camaras Wifi Interior 
                                    
                
            

         ",0,
"div","clearfix","Camaras Wifi Interior 
                                    
                
            

         ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Camaras Wifi Interior 
                                    
                
            

         ",0,
"div","cbp-menu-column-inner","Camaras Wifi Interior",0,
"div","cbp-menu-column-inner","Camaras Wifi Exterior",0,
"div","tab-pane cbp-tab-pane  innertabcontent-22","Consumo 
                                    
                
            

            
          ",0,
"div","clearfix","Consumo 
                                    
                
            

            
          ",0,
"div","row menu_row menu-element  first_rows menu-element-id-1","Consumo 
                                    
                
            

            
          ",0,
"div","cbp-menu-column-inner","Consumo",0,
"div","cbp-menu-column-inner","Digitalizadora Gráfica",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-3 ","Computadoras",0,
"span","cbp-tab-title","Computadoras",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-4 ","Placas de Video",0,
"span","cbp-tab-title","Placas de Video",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-16 ","Motherboards",0,
"span","cbp-tab-title","Motherboards",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-5 ","Procesadores",0,
"span","cbp-tab-title","Procesadores",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-7 ","Memorias Ram",0,
"span","cbp-tab-title","Memorias Ram",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-33 ","Royal Kludge",0,
"span","cbp-tab-title","Royal Kludge",0,
"li","cbp-hrmenu-tab cbp-hrmenu-tab-29 ","Outlet",0,
"span","cbp-tab-title","Outlet",0,
"img","cbp-mainlink-iicon","",0,
"div","","",0,
"span","mm-expand","",0,
"a","","Productos",0,
"a","","Accesorios",0,
"span","mm-expand","",0,
"a","","Computadoras",0,
"a","","Aio",0,
"a","","Combos De Actualización",0,
"a","","Gamerbox",0,
"a","","Pc Hogar & Oficina",0,
"a","","Pc Gamer",0,
"a","","Pc Diseño",0,
"a","","Mini Pc",0,
"a","","Pc Armada",0,
"span","mm-expand","",0,
"a","","Conectividad",0,
"a","","Placas De Red",0,
"a","","Placas Wifi",0,
"a","","Cables Av",0,
"a","","Router Wifi",0,
"a","","Switch",0,
"a","","Access Point",0,
"a","","Cable Red",0,
"a","","Router",0,
"span","mm-expand","",0,
"a","","Energia",0,
"a","","Estabilizadores",0,
"a","","Pdu",0,
"a","","Powerbanks",0,
"a","","Ups",0,
"span","mm-expand","",0,
"a","","Gaming House",0,
"a","","Gamepad",0,
"a","","Juegos",0,
"a","","Perifericos2",0,
"a","","Play Station",0,
"a","","Volantes",0,
"a","","Xbox",0,
"a","","Silla Gamer",0,
"a","","Streaming",0,
"a","","Televisores",0,
"a","","Microfono",0,
"a","","Escritorios",0,
"span","mm-expand","",0,
"a","","Hardware",0,
"a","","Combos De Actualización",0,
"a","","Fuentes",0,
"a","","Gabinetes Con Psu",0,
"a","","Gabinetes Sin Psu",0,
"a","","Hdd",0,
"a","","Hde",0,
"a","","Memorias",0,
"a","","Memorias Soddimm",0,
"a","","Motherboards",0,
"a","","Lectograbadoras",0,
"a","","Perifericos3",0,
"a","","Placas De Sonido",0,
"a","","Placas De Video",0,
"a","","Procesadores",0,
"a","","Refrigeracion",0,
"a","","Ssd",0,
"span","mm-expand","",0,
"a","","Impresoras",0,
"a","","Impresoras Laser",0,
"a","","Impresoras Inkjet",0,
"a","","Impresoras Multifunción",0,
"a","","Impresoras De Sistema Continuo",0,
"span","mm-expand","",0,
"a","","Monitores Y Tvs",0,
"a","","Monitores Oficina",0,
"a","","Monitores Gamer",0,
"a","","Monitores Profesionales",0,
"a","","Tvs",0,
"span","mm-expand","",0,
"a","","Perifericos",0,
"a","","Kit Teclado Y Mouse",0,
"a","","Mouse",0,
"a","","Teclados",0,
"a","","Mousepad",0,
"a","","Auriculares",0,
"a","","Joystick",0,
"a","","Gamepads",0,
"a","","Parlantes",0,
"a","","Sillas Gamer",0,
"a","","Adaptadores",0,
"span","mm-expand","",0,
"a","","Portables",0,
"a","","2en1",0,
"a","","Celulares",0,
"a","","Gamerbook",0,
"a","","Notebooks",0,
"a","","Wearables",0,
"span","mm-expand","",0,
"a","","Software",0,
"a","","Antivirus",0,
"a","","Licencias",0,
"a","","Sistemas Operativos",0,
"a","","Videovigilancia",0,
"a","","Selecciona tu marca",0,
"span","mm-expand","",0,
"a","","Sonido & Video",0,
"a","","Auriculares",0,
"a","","Capturadoras",0,
"a","","Parlantes",0,
"a","","Portatiles",0,
"a","","Proyectores",0,
"a","","Streaming",0,
"span","mm-expand","",0,
"a","","Videovigilancia",0,
"a","","Accesorios",0,
"a","","Camaras Analogicas",0,
"a","","Camaras Ip",0,
"a","","Dvr",0,
"a","","Nvr",0,
"a","","Camaras Wifi Interior",0,
"a","","Camaras Wifi Exterior",0,
"span","mm-expand","",0,
"a","","Accesorios",0,
"a","","Adaptadores",0,
"a","","Cable Datos",0,
"a","","Cable Power",0,
"a","","Webcam",0,
"a","","Administracion",0,
"span","mm-expand","",0,
"a","","Notebooks",0,
"a","","Notebook Oficina",0,
"a","","Notebook Gamer",0,
"a","","Notebook Diseño",0,
"a","","Mochilas",0,
"span","mm-expand","",0,
"a","","Tablets",0,
"a","","Consumo",0,
"a","","Digitalizadora Gráfica",0,
"a","","Outlet",0,
"span","mm-expand","",0,
"a","","Simuladores",0,
"a","","Simulador De Auto",0,
"a","","Simulador De Vuelo",0,
"span","mm-expand","",0,
"a","","Computadoras",0,
"a","","Aio",0,
"a","","Combos De Actualización",0,
"a","","Gamerbox",0,
"a","","Pc Hogar & Oficina",0,
"a","","Pc Gamer",0,
"a","","Pc Diseño",0,
"a","","Mini Pc",0,
"a","","Pc Armada",0,
"a","","Placas De Video",0,
"a","","Procesadores",0,
"a","","Motherboards",0,
"a","","Monitores Gamer",0,
"a","","Memorias",0,
"a","","Powerbank",0,
"a","","Outlet",0,
"a","","Volante Logitech G29",0,
"span","mm_menus_back","",0,
"div","pull-right","Regreso",0,
"span","mm_menus_back_icon","",0,
"li","mm_menus_li mm_sub_align_full mm_has_sub hover ","Computadoras
                                                                    
                
 ",0,
"a","ets_mm_url","Computadoras",0,
"span","mm_menu_content_title","Computadoras",0,
"span","mm_arrow","",0,
"ul","mm_columns_ul","Pc de escritorio
                                
                        
                         ",0,
"li","mm_columns_li column_size_12  mm_has_sub","Pc de escritorio
                                
                        
                         ",0,
"ul","mm_blocks_ul","Pc de escritorio
                                
                        
                         ",0,
"li","mm_blocks_li","Pc de escritorio
                                
                        
                         ",0,
"div","ets_mm_block mm_block_type_category","Pc de escritorio
                                
                        
                         ",0,
"span","h4","Pc de escritorio",0,
"div","ets_mm_block_content","Pc Diseño
                            
                    
                Pc Gamer
               ",0,
"ul","ets_mm_categories","Pc Diseño
                            
                    
                Pc Gamer
               ",0,
"a","ets_mm_url","Pc Diseño",0,
"a","ets_mm_url","Pc Gamer",0,
"a","ets_mm_url","Pc Hogar & Oficina",0,
"div","clearfix","",0,
"li","mm_blocks_li","Notebook
                                
                        
                                
",0,
"div","ets_mm_block mm_block_type_category","Notebook
                                
                        
                                
",0,
"span","h4","Notebook",0,
"div","ets_mm_block_content","Mochilas
                            
                    
                Notebook Diseño
         ",0,
"ul","ets_mm_categories","Mochilas
                            
                    
                Notebook Diseño
         ",0,
"a","ets_mm_url","Mochilas",0,
"a","ets_mm_url","Notebook Diseño",0,
"a","ets_mm_url","Notebook Gamer",0,
"a","ets_mm_url","Notebook Oficina",0,
"div","clearfix","",0,
"li","mm_blocks_li","Software
                                
                        
                                
",0,
"div","ets_mm_block mm_block_type_category","Software
                                
                        
                                
",0,
"span","h4","Software",0,
"div","ets_mm_block_content","Sistemas Operativos",0,
"ul","ets_mm_categories","Sistemas Operativos",0,
"a","ets_mm_url","Sistemas Operativos",0,
"div","clearfix","",0,
"li","mm_blocks_li","Combos de actualización
                                
                        
                  ",0,
"div","ets_mm_block mm_block_type_html","Combos de actualización
                                
                        
                  ",0,
"span","h4","Combos de actualización",0,
"div","ets_mm_block_content","Combos Amd

Combos Intel",0,
"a","","Combos Amd",0,
"a","","Combos Intel",0,
"div","clearfix","",0,
"li","mm_menus_li mm_sub_align_full mm_has_sub hover ","Hardware
                                                                    
                
     ",0,
"a","ets_mm_url","Hardware",0,
"span","mm_menu_content_title","Hardware",0,
"span","mm_arrow","",0,
"ul","mm_columns_ul","Procesadores
                                
                        
                            A",0,
"li","mm_columns_li column_size_12  mm_has_sub","Procesadores
                                
                        
                            A",0,
"ul","mm_blocks_ul","Procesadores
                                
                        
                            A",0,
"li","mm_blocks_li","Procesadores
                                
                        
                            A",0,
"div","ets_mm_block mm_block_type_html","Procesadores
                                
                        
                            A",0,
"span","h4","Procesadores",0,
"div","ets_mm_block_content","Amd

Intel",0,
"a","","Amd",0,
"a","","Intel",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Motherboards
                                
                        
                            A",0,
"ul","mm_blocks_ul","Motherboards
                                
                        
                            A",0,
"li","mm_blocks_li","Motherboards
                                
                        
                            A",0,
"div","ets_mm_block mm_block_type_html","Motherboards
                                
                        
                            A",0,
"span","h4","Motherboards",0,
"div","ets_mm_block_content","Amd

Intel",0,
"a","","Amd",0,
"a","","Intel",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Memorias
                                
                        
                            Pc de",0,
"ul","mm_blocks_ul","Memorias
                                
                        
                            Pc de",0,
"li","mm_blocks_li","Memorias
                                
                        
                            Pc de",0,
"div","ets_mm_block mm_block_type_html","Memorias
                                
                        
                            Pc de",0,
"span","h4","Memorias",0,
"div","ets_mm_block_content","Pc de Escritorio

Notebooks

Micro SD",0,
"a","","Pc de Escritorio",0,
"a","","Notebooks",0,
"a","","Micro SD",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Placa de videos
                                
                        
                          ",0,
"ul","mm_blocks_ul","Placa de videos
                                
                        
                          ",0,
"li","mm_blocks_li","Placa de videos
                                
                        
                          ",0,
"div","ets_mm_block mm_block_type_html","Placa de videos
                                
                        
                          ",0,
"span","h4","Placa de videos",0,
"div","ets_mm_block_content","Amd Radeon

Nvidia",0,
"a","","Amd Radeon",0,
"a","","Nvidia",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Discos Rígidos
                                
                        
                           ",0,
"ul","mm_blocks_ul","Discos Rígidos
                                
                        
                           ",0,
"li","mm_blocks_li","Discos Rígidos
                                
                        
                           ",0,
"div","ets_mm_block mm_block_type_html","Discos Rígidos
                                
                        
                           ",0,
"span","h4","Discos Rígidos",0,
"div","ets_mm_block_content","Internos

Externos",0,
"a","","Internos",0,
"a","","Externos",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Discos Sólidos
                                
                        
                           ",0,
"ul","mm_blocks_ul","Discos Sólidos
                                
                        
                           ",0,
"li","mm_blocks_li","Discos Sólidos
                                
                        
                           ",0,
"div","ets_mm_block mm_block_type_html","Discos Sólidos
                                
                        
                           ",0,
"span","h4","Discos Sólidos",0,
"div","ets_mm_block_content","M2

SATA",0,
"a","","M2",0,
"a","","SATA",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Gabinetes
                                
                        
                            Con ",0,
"ul","mm_blocks_ul","Gabinetes
                                
                        
                            Con ",0,
"li","mm_blocks_li","Gabinetes
                                
                        
                            Con ",0,
"div","ets_mm_block mm_block_type_html","Gabinetes
                                
                        
                            Con ",0,
"span","h4","Gabinetes",0,
"div","ets_mm_block_content","Con fuente

Sin fuente",0,
"a","","Con fuente",0,
"a","","Sin fuente",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Refrigeración
                                
                        
                            ",0,
"ul","mm_blocks_ul","Refrigeración
                                
                        
                            ",0,
"li","mm_blocks_li","Refrigeración
                                
                        
                            ",0,
"div","ets_mm_block mm_block_type_html","Refrigeración
                                
                        
                            ",0,
"span","h4","Refrigeración",0,
"div","ets_mm_block_content","Air Cooler

Cooler Gabinete

Water Cooler

Pasta Térmica",0,
"a","","Air Cooler",0,
"a","","Cooler Gabinete",0,
"a","","Water Cooler",0,
"a","","Pasta Térmica",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Fuentes
                                
                        
                                
 ",0,
"ul","mm_blocks_ul","Fuentes
                                
                        
                                
 ",0,
"li","mm_blocks_li","Fuentes
                                
                        
                                
 ",0,
"div","ets_mm_block mm_block_type_category","Fuentes
                                
                        
                                
 ",0,
"span","h4","Fuentes",0,
"a","","Fuentes",0,
"div","ets_mm_block_content","Fuentes",0,
"ul","ets_mm_categories","Fuentes",0,
"a","ets_mm_url","Fuentes",0,
"div","clearfix","",0,
"li","mm_menus_li mm_sub_align_full mm_has_sub hover ","Periféricos
                                                                    
                
  ",0,
"a","ets_mm_url","Periféricos",0,
"span","mm_menu_content_title","Periféricos",0,
"span","mm_arrow","",0,
"ul","mm_columns_ul","Periféricos
                                
                        
                              ",0,
"li","mm_columns_li column_size_12  mm_has_sub","Periféricos
                                
                        
                              ",0,
"ul","mm_blocks_ul","Periféricos
                                
                        
                              ",0,
"li","mm_blocks_li","Periféricos
                                
                        
                              ",0,
"div","ets_mm_block mm_block_type_category","Periféricos
                                
                        
                              ",0,
"span","h4","Periféricos",0,
"div","ets_mm_block_content","Adaptadores
                            
                    
                Auriculares
          ",0,
"ul","ets_mm_categories","Adaptadores
                            
                    
                Auriculares
          ",0,
"a","ets_mm_url","Adaptadores",0,
"a","ets_mm_url","Auriculares",0,
"a","ets_mm_url","Consumo",0,
"a","ets_mm_url","Digitalizadora Gráfica",0,
"a","ets_mm_url","Gamepads",0,
"a","ets_mm_url","Joystick",0,
"a","ets_mm_url","Kit Teclado Y Mouse",0,
"a","ets_mm_url","Mouse",0,
"a","ets_mm_url","Mousepad",0,
"a","ets_mm_url","Parlantes",0,
"a","ets_mm_url","Tablets",0,
"a","ets_mm_url","Teclados",0,
"a","ets_mm_url","Webcam",0,
"div","clearfix","",0,
"li","mm_menus_li mm_sub_align_full mm_has_sub hover ","Gaming House
                                                                    
                
 ",0,
"a","ets_mm_url","Gaming House",0,
"span","mm_menu_content_title","Gaming House",0,
"span","mm_arrow","",0,
"ul","mm_columns_ul","Play Station
                                
                        
                            C",0,
"li","mm_columns_li column_size_12  mm_has_sub","Play Station
                                
                        
                            C",0,
"ul","mm_blocks_ul","Play Station
                                
                        
                            C",0,
"li","mm_blocks_li","Play Station
                                
                        
                            C",0,
"div","ets_mm_block mm_block_type_html","Play Station
                                
                        
                            C",0,
"span","h4","Play Station",0,
"div","ets_mm_block_content","Consola

Joystick",0,
"a","","Consola",0,
"a","","Joystick",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Xbox
                                
                        
                            Consola

",0,
"ul","mm_blocks_ul","Xbox
                                
                        
                            Consola

",0,
"li","mm_blocks_li","Xbox
                                
                        
                            Consola

",0,
"div","ets_mm_block mm_block_type_html","Xbox
                                
                        
                            Consola

",0,
"span","h4","Xbox",0,
"div","ets_mm_block_content","Consola

Joystick",0,
"a","","Consola",0,
"a","","Joystick",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Silla Gamer
                                
                        
                              ",0,
"ul","mm_blocks_ul","Silla Gamer
                                
                        
                              ",0,
"li","mm_blocks_li","Silla Gamer
                                
                        
                              ",0,
"div","ets_mm_block mm_block_type_category","Silla Gamer
                                
                        
                              ",0,
"span","h4","Silla Gamer",0,
"div","ets_mm_block_content","Silla Gamer",0,
"ul","ets_mm_categories","Silla Gamer",0,
"a","ets_mm_url","Silla Gamer",0,
"div","clearfix","",0,
"li","mm_columns_li column_size_12  mm_has_sub","Streaming
                                
                        
                                ",0,
"ul","mm_blocks_ul","Streaming
                                
                        
                                ",0,
"li","mm_blocks_li","Streaming
                                
                        
                                ",0,
"div","ets_mm_block mm_block_type_category","Streaming
                                
                        
                                ",0,
"span","h4","Streaming",0,
"div","ets_mm_block_content","Gaming House
                            
                    
                Microfono
           ",0,
"ul","ets_mm_categories","Gaming House
                            
                    
                Microfono
           ",0,
"a","ets_mm_url","Gaming House",0,
"a","ets_mm_url","Microfono",0,
"a","ets_mm_url","Streaming",0,
"a","ets_mm_url","Volantes",0,
"div","clearfix","",0,
"li","mm_menus_li mm_sub_align_full mm_has_sub hover ","Monitores
                                                                    
                
    ",0,
"a","ets_mm_url","Monitores",0,
"span","mm_menu_content_title","Monitores",0,
"span","mm_arrow","",0,
